MFACTOR|MFACTORNAME|ST_CASE|VEH_NO|STATE|YEAR|VEHICLECC
0|None|480324|3|48|2017|
0|None|480324|4|48|2017|
0|None|480325|1|48|2017|
1|Tires|480326|1|48|2017|
0|None|480326|2|48|2017|
0|None|480327|1|48|2017|
0|None|480328|1|48|2017|
0|None|480329|1|48|2017|
0|None|480329|2|48|2017|
0|None|480330|1|48|2017|
0|None|480331|1|48|2017|
0|None|480331|2|48|2017|
0|None|480332|1|48|2017|
0|None|480332|2|48|2017|
0|None|480333|1|48|2017|
0|None|480333|2|48|2017|
0|None|480333|3|48|2017|
0|None|480334|1|48|2017|
0|None|480335|1|48|2017|
0|None|480335|2|48|2017|
0|None|480335|3|48|2017|
0|None|480336|1|48|2017|
0|None|480337|1|48|2017|
0|None|480337|2|48|2017|
0|None|480338|1|48|2017|
0|None|480340|1|48|2017|
0|None|480340|2|48|2017|
0|None|480341|1|48|2017|
0|None|480341|2|48|2017|
0|None|480342|1|48|2017|
0|None|480343|1|48|2017|
0|None|480343|2|48|2017|
0|None|480344|1|48|2017|
0|None|480344|2|48|2017|
0|None|480345|1|48|2017|
0|None|480345|2|48|2017|
0|None|480346|1|48|2017|
0|None|480346|2|48|2017|
0|None|480347|1|48|2017|
0|None|480347|2|48|2017|
0|None|480348|1|48|2017|
0|None|480348|2|48|2017|
0|None|480349|1|48|2017|
0|None|480349|2|48|2017|
0|None|480349|3|48|2017|
0|None|480349|4|48|2017|
0|None|480350|1|48|2017|
0|None|480350|2|48|2017|
0|None|480351|1|48|2017|
0|None|480351|2|48|2017|
0|None|480352|1|48|2017|
0|None|480354|1|48|2017|
0|None|480355|1|48|2017|
0|None|480355|2|48|2017|
0|None|480357|1|48|2017|
0|None|480357|2|48|2017|
0|None|480357|3|48|2017|
0|None|480357|4|48|2017|
0|None|480358|1|48|2017|
0|None|480359|1|48|2017|
0|None|480360|1|48|2017|
0|None|480361|1|48|2017|
0|None|480362|1|48|2017|
0|None|480363|1|48|2017|
0|None|480363|2|48|2017|
0|None|480363|3|48|2017|
0|None|480363|4|48|2017|
0|None|480363|5|48|2017|
0|None|480364|1|48|2017|
0|None|480364|2|48|2017|
1|Tires|480365|1|48|2017|
0|None|480366|1|48|2017|
0|None|480366|2|48|2017|
0|None|480367|1|48|2017|
0|None|480367|2|48|2017|
0|None|480368|1|48|2017|
0|None|480369|1|48|2017|
0|None|480370|1|48|2017|
0|None|480371|1|48|2017|
0|None|480371|2|48|2017|
0|None|480372|1|48|2017|
0|None|480373|1|48|2017|
1|Tires|480374|1|48|2017|
1|Tires|480375|1|48|2017|
0|None|480376|1|48|2017|
0|None|480378|1|48|2017|
0|None|480379|1|48|2017|
0|None|480379|2|48|2017|
0|None|480380|1|48|2017|
0|None|480380|2|48|2017|
0|None|480381|1|48|2017|
